FID,Id,width,Distance,Elevation
267,0,5.2946200,2631,259.692817800000000
268,0,4.5952001,2638,259.675063507000000
269,0,3.7579899,2642,259.550307237000030
270,0,3.3055601,2645,259.683633018000020
271,0,4.3623300,2650,259.691429966999980
272,0,4.9420800,2654,259.890417793999970
273,0,8.5879402,2660,259.949532707000000
274,0,7.6624999,2749,260.888944541000000
275,0,5.9404302,2742,260.873451464000030
276,0,6.8444300,2738,260.736439303000000
277,0,9.5191002,2756,260.859666473999990
278,0,4.6737900,2675,259.917050689000010
279,0,8.5201702,2765,260.881534712000020
280,0,9.6029301,2771,260.894868347000000
281,0,8.3445396,2779,261.095158904000020
282,0,9.7152100,2785,261.176202674000020
283,0,8.0255404,2794,261.185563173999980
284,0,7.9794598,2806,261.311546674000000
285,0,7.2828202,2826,261.256905766999980
286,0,9.6584501,2834,261.301397856999980
287,0,9.5020199,2936,262.247872957000030
288,0,9.3321600,2924,262.139152910000010
289,0,11.0696001,2946,262.259587672000010
290,0,12.5403004,2975,262.405546908000020
291,0,10.8894997,2991,262.628015627000020
292,0,7.7635598,3003,262.807237094000020
293,0,9.7367697,3130,263.395997254000010
294,0,11.3056002,3154,263.641627936000020
295,0,7.8299298,3179,263.763691231000000
296,0,9.6264400,3196,263.914835760000020
297,0,13.4502001,3213,264.367684108999980
298,0,10.2389002,3227,264.523808869999980
299,0,10.4998999,3241,264.747460346000030
300,0,12.7165003,3249,264.883254609999990
301,0,9.9298096,3259,265.156958488999980
302,0,9.1653299,3272,265.403148252999980
303,0,10.6375999,3286,265.498325438999980
304,0,9.2462997,3306,265.788080192999980
305,0,7.9697900,3322,265.858391621000010
306,0,8.3394098,3339,265.930224070000010
307,0,9.4814701,3349,265.821417651999980
308,0,10.2365999,3356,265.854177670000010
309,0,6.9728599,3362,265.728216815999990
310,0,5.6871099,3367,265.820418452000010
311,0,5.0697699,3374,265.988052106999990
312,0,5.3099198,3379,266.083971727000010
313,0,5.1692100,3382,266.223582722000000
314,0,7.3317499,3388,266.262034110000000
315,0,19.2455006,3429,266.295424790000030
316,0,13.6084003,3500,266.849734099999980
317,0,13.6891003,3486,266.861307144000020
318,0,14.9047003,3461,266.680010919999970
319,0,8.8419800,3515,266.897028386999980
320,0,10.8051996,3528,266.896325134999980
321,0,10.9048996,3542,267.166784764000000
322,0,9.8156900,3551,267.192611154000020
323,0,12.2273998,3651,267.942937015999970
324,0,13.1702995,3614,267.789400043000000
325,0,13.6661997,3636,267.965183029999990
326,0,13.8039999,3598,267.704652158999980
327,0,0.8344400,1258,189.218815447000000
328,0,1.5599900,1265,189.026169519000010
329,0,1.4712900,1282,190.239242881000000
330,0,2.1983299,1290,191.540613709000010
331,0,1.0793900,1293,192.532196292000010
332,0,0.8344400,1299,192.511244594999990
333,0,2.0099399,1302,192.447717215000010
334,0,2.4922800,1312,193.040845458000010
335,0,1.3585700,1218,183.750273445999990
336,0,0.9834740,1209,185.956052953000010
337,0,1.4481500,1250,186.396662915000010
338,0,0.6614600,1256,189.184824184000010
339,0,1.8532701,1289,191.357562933999990
340,0,1.2070500,1295,192.459210853000000
341,0,1.6148300,1246,185.281963133999990
342,0,1.1303000,1238,186.338531362000000
343,0,1.2774900,1230,184.078708648999990
344,0,1.4279000,1226,184.184212585000010
345,0,1.5984900,1217,184.696597335000010
346,0,6.1091099,1385,193.449350656000010
347,0,6.0061798,1391,193.290221828999990
348,0,2.2808399,1780,214.419401668000010
349,0,2.8404300,1788,222.453452183000000
350,0,4.5376301,1800,223.158346671000000
351,0,4.4124899,1762,210.558827599000010
352,0,9.2284899,1976,240.444302647999990
353,0,7.0142798,1981,240.926062696000000
354,0,7.3469701,1983,240.544620095999990
355,0,5.5096102,1961,241.556184688999990
356,0,5.9107299,1952,239.384531869999990
357,0,4.1297598,1995,238.905879623999990
358,0,5.2958102,2056,240.793333098000010
359,0,3.4497499,2050,242.333984157000000
360,0,5.3614998,2061,240.637593170000000
361,0,5.6723800,2077,241.491835552999990
362,0,5.7238202,2082,242.290312430000000
363,0,4.7093902,2088,241.409080925000010
364,0,6.4437199,2094,241.385819964000010
365,0,5.9073901,2104,242.384278212000000
366,0,5.4649501,2110,243.579852729000010
367,0,5.0288301,2113,245.267823233000000
368,0,4.9921598,2146,250.145843840999990
369,0,3.7986400,2154,246.666672502000010
370,0,4.8571100,2162,246.993986691000000
371,0,5.1210799,2169,248.099927425000000
372,0,4.8250299,2172,246.960395510000010
373,0,2.8473499,2176,247.276246902000000
374,0,3.4529200,2179,247.379077502999990
375,0,3.3026600,2183,248.913847597999990
376,0,2.8817201,2188,249.282210402000000
377,0,3.2573099,2195,249.643262580999990
378,0,1.2357100,2213,252.972564274000010
379,0,1.0665700,2221,255.075988638000010
380,0,1.1303000,2231,256.113404718000030
381,0,5.1936202,2532,258.882214974000020
382,0,6.5514598,2536,258.810444647999990
383,0,6.5754499,2542,258.982952348000030
